"Tipo","Codice CdL","Valore Indicatore"
"Triennali","3063",4
"Triennali","3043",5
"Triennali","3046",6
"Triennali","3044",9
"Triennali","3048",10
"Triennali","3068",11
"Triennali","3067",11
"Triennali","3066",12
"Triennali","3047",12
"Triennali","3064",14
"Triennali","3049",14
"Triennali","3059",18
"Triennali","3041",18
"Triennali","3029",23
"Triennali","3042",24
"Triennali","3062",27
"Triennali","3030",46
"Triennali","3026",55
"Triennali","3057",60
"Triennali","3013",67
"Triennali","3022",88
"Triennali","3028",91
"Triennali","3007",93
"Triennali","3024",100
"Triennali","3061",103
"Triennali","3054",115
"Triennali","3000",118
"Triennali","3052",124
"Triennali","3014",127
"Triennali","3060",135
"Triennali","3050",139
"Triennali","3069",142
"Triennali","3020",152
"Triennali","3023",156
"Triennali","3027",164
"Triennali","3011",172
"Triennali","3040",208
"Triennali","3006",237
"Triennali","3019",252
"Triennali","3032",257
"Triennali","3017",308
"Triennali","3010",359
"Triennali","3051",399
"Triennali","3038",416
"Triennali","3004",990
