"AREA","CLASSE","DENOMINAZIONE"
"A","L/SNTI","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica"
"A","L/SNT2","Professioni sanitarie della riabilitazione"
"A","L/SNT3","Professioni sanitarie tecniche"
"A","L/SNT4","Professioni sanitarie della prevenzione"
"B1","L-2","Biotecnologie"
"B1","L-25","Scienze e tecnologie agrarie e forestali"
"B1","L-26","Scienze e tecnologie alimentari"
"B1","L-27","Scienze e tecnologie chimiche"
"B1","L-30","Scienze e tecnologie fisiche"
"B1","L-32","Scienze e tecnologie per l’ambiente e la natura"
"B1","L-34","Scienze geologiche"
"B1","L-35","Scienze matematiche"
"B1","L-38","Scienze zootecniche e tecnologie delle produzioni animali"
"B1","L-41","Statistica"
"B1","L-43","Diagnostica per la conservazione dei beni culturali"
"B1","L-Sc. Mat.","Scienza dei materiali"
"B2","L-13","Scienze biologiche"
"B2","L-17","Scienze dell'architettura"
"B2","L-21","Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale"
"B2","L-22","Scienze delle attività motorie e sportive"
"B2","L-23","Scienze e tecniche dell’edilizia"
"B2","L-28","Scienze e tecnologie della navigazione"
"B2","L-29","Scienze e tecnologie farmaceutiche"
"B2","L-31","Scienze e tecnologie informatiche"
"B2","L-4","Disegno industriale"
"B2","L-7","Ingegneria civile e ambientale"
"B2","L-8","Ingegneria dell’informazione"
"B2","L-9","Ingegneria industriale"
"C1","L-1","Beni culturali"
"C1","L-42","Storia"
"C1","L-5","Filosofia"
"C1","L-37","Scienze sociali per la cooperazione, lo sviluppo e la pace"
"C1","L-10","Lettere"
"C1","L-39","Servizio sociale"
"C1","L-14","Scienze dei servizi giuridici"
"C1","L-15","Scienze del turismo"
"C1","L-16","Scienze dell’amministrazione e dell’organizzazione"
"C1","L-6","Geografia"
"C1","L-33","Scienze economiche"
"C1","L/DS","Scienze della difesa e della sicurezza"
"C1","L/GASTR","Scienze, culture e politiche della gastronomia"
"C2","L.11","Lingue e culture moderne"
"C2","L-12","Mediazione linguistica"
"C2","L-18","Scienze dell’economia e della gestione aziendale"
"C2","L-19","Scienze dell’educazione e della formazione"
"C2","L-20","Scienze della comunicazione"
"C2","L-24","Scienze e tecniche psicologiche"
"C2","L-3","Discipline delle arti figurative, della musica, dello spettacolo e della moda"
"C2","L-36","Scienze politiche e delle relazioni internazionali"
"C2","L-40","Sociologia"
"P","LP-01","Professioni tecniche per l’edilizia e il territorio"
"P","LP-02","Professioni tecniche agrarie, alimentari e forestali"
"P","LP-03","Professioni tecniche industriali e dell’informazione"
